,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Cleaned_Size
4433,O'Route Orienteering,SPORTS,4.2,6,1.3,100,Paid,3.02,Everyone,Sports,"December 27, 2017",2.0.5,3.0 and up,1.3
4434,Drink-O-Tron The Drinking Game,GAME,4.1,140,45.0,50000,Free,0.0,Mature 17+,Card,"May 31, 2017",1.64,4.0.3 and up,45
4435,Multiling O Keyboard + emoji,PRODUCTIVITY,4.3,30443,83.35,1000000,Free,0.0,Everyone,Productivity,"July 3, 2018",0.54.2.4,2.1 and up,540
4436,Google I/O 2018,BOOKS_AND_REFERENCE,4.3,22401,4.6,500000,Free,0.0,Everyone,Books & Reference,"May 7, 2018",6.1.2,5.0 and up,4.6
4437,Prime Key for Nougat Launcher& O Launcher &KitKat,PERSONALIZATION,4.1,324,83.35,5000,Paid,6.99,Everyone,Personalization,"August 20, 2017",5.1,5.1 and up,313
4438,OO Launcher for Android O 8.0 Oreo™ Launcher,PERSONALIZATION,4.4,14832,8.6,1000000,Free,0.0,Everyone,Personalization,"August 3, 2018",4.6,4.0 and up,8.6
4439,Band O'Clock,LIFESTYLE,3.8,1140,83.35,100000,Free,0.0,Everyone,Lifestyle,"December 3, 2011",0.11,2.1 and up,746
4440,O Launcher,TOOLS,4.3,2059,10.0,100000,Free,0.0,Everyone,Tools,"May 22, 2018",1.1.4,5.0 and up,10
4441,O-Star,DATING,4.4,59,38.0,5000,Free,0.0,Everyone,Dating,"July 19, 2018",1.0.1,4.3 and up,38
4442,Verdad o Reto,SOCIAL,3.8,826,5.1,500000,Free,0.0,Teen,Social,"May 10, 2018",2.0,4.1 and up,5.1
4443,Pixlr-o-matic,PHOTOGRAPHY,4.5,180697,6.1,10000000,Free,0.0,Everyone,Photography,"April 25, 2017",2.2.5,2.1 and up,6.1
4444,O-Level Past Papers & Solution (up to 2017),FAMILY,3.8,589,28.0,100000,Free,0.0,Everyone,Education,"June 11, 2018",8.3.2,4.0.3 and up,28
4445,"O Multiple - App Cloner, Duals APP, tarallel",TOOLS,3.9,145,5.2,50000,Free,0.0,Everyone,Tools,"May 15, 2018",1.0.7,4.1 and up,5.2
4446,The Maze Runner,GAME,4.0,428268,22.0,10000000,Free,0.0,Everyone,Action,"September 14, 2015",1.8.1,2.3 and up,22
4448,PicsArt Photo Studio: Collage Maker & Pic Editor,PHOTOGRAPHY,4.5,7590099,34.0,100000000,Free,0.0,Teen,Photography,"July 31, 2018",9.40.3,4.0.3 and up,34
4449,P Icon Pack for Pixel,PERSONALIZATION,4.4,38,51.0,1000,Free,0.0,Everyone,Personalization,"May 6, 2018",1.0.3,4.1 and up,51
4450,Android P | Xperia™ Theme 4800+ icons,PERSONALIZATION,4.6,29,39.0,100,Paid,1.99,Everyone,Personalization,"May 16, 2018",1.0.0,6.0 and up,39
4452,P-Home for KLWP,PERSONALIZATION,5.0,4,12.0,100,Paid,0.99,Everyone,Personalization,"May 15, 2018",v2018.May.15.14,5.0 and up,12
4453,[substratum] Vacuum: P,PERSONALIZATION,4.4,230,11.0,1000,Paid,1.49,Everyone,Personalization,"July 20, 2018",4.4,4.1 and up,11
4454,"Super P Launcher for Android P 9.0 launcher, theme",TOOLS,4.4,2026,7.5,100000,Free,0.0,Everyone,Tools,"August 3, 2018",1.9,4.0 and up,7.5
4455,pixiv,SOCIAL,4.2,86956,24.0,1000000,Free,0.0,Mature 17+,Social,"August 3, 2018",5.0.109,4.4 and up,24
4456,[Sub/EMUI] P Pro - EMUI 8.1/8.0/5.X Theme,PERSONALIZATION,4.0,13,19.0,100,Paid,0.99,Everyone,Personalization,"July 20, 2018",H7SubTV0.1_TV0.4,7.0 and up,19
4458,Theme Android P Design for LG V30,PERSONALIZATION,4.2,35,5.2,500,Paid,1.49,Everyone,Personalization,"April 26, 2018",1.33,7.0 and up,5.2
4460,Theme Android P for LG G7 & V35,PERSONALIZATION,4.6,5,4.5,100,Paid,1.49,Everyone,Personalization,"July 7, 2018",1.1,8.0 and up,4.5
4461,Volume Slider Like Android P Volume Control,TOOLS,4.1,1129,1.7,10000,Paid,0.99,Everyone,Tools,"June 30, 2018",1.28,4.1 and up,1.7
4463,P Launcher for Android™ 9.0,PERSONALIZATION,3.9,35,6.3,5000,Free,0.0,Everyone,Personalization,"July 1, 2018",0.9.3,5.0 and up,6.3
4466,Theme Android P Black design for LG V30,PERSONALIZATION,4.4,8,6.2,100,Paid,1.49,Everyone,Personalization,"April 6, 2018",1.1,7.0 and up,6.2
4467,P Launcher Theme For Android™ 9.0,PERSONALIZATION,3.9,213,28.0,10000,Free,0.0,Everyone,Personalization,"May 18, 2018",1.4,4.0 and up,28
4468,Theme Android P Black for LG G7 & V35,PERSONALIZATION,4.6,5,4.3,100,Paid,1.49,Everyone,Personalization,"July 31, 2018",1.3,7.0 and up,4.3
4469,P Theme for Android™ P 9.0 Style Launcher,PERSONALIZATION,4.5,216,5.7,50000,Free,0.0,Everyone,Personalization,"April 13, 2018",1.4,4.1 and up,5.7
4470,Android P 9.0,PERSONALIZATION,3.0,12,4.9,500,Free,0.0,Everyone,Personalization,"May 30, 2018",2.0,4.0.3 and up,4.9
4472,Android P Wallpapers,PERSONALIZATION,3.6,53,2.0,5000,Free,0.0,Everyone,Personalization,"February 12, 2018",1,4.0.3 and up,2.0
4473,P XPERIA Theme™ | Design For SONY 🎨,PERSONALIZATION,4.4,147,16.0,10000,Free,0.0,Everyone,Personalization,"May 28, 2018",1.0.0,4.4 and up,16
4474,Parallel Space - Multiple accounts & Two face,PERSONALIZATION,4.6,3062845,7.4,100000000,Free,0.0,Everyone,Personalization,"August 3, 2018",4.0.8552,4.0.3 and up,7.4
4476,P9 Launcher - Android™ 9.0 P Launcher Style,TOOLS,4.3,1162,7.3,100000,Free,0.0,Everyone,Tools,"July 6, 2018",2.5,4.1 and up,7.3
4477,Android P Style Icon Pack,PERSONALIZATION,5.0,1,60.0,100,Paid,0.99,Everyone,Personalization,"June 16, 2018",1.0,4.1 and up,60
4478,Android P Stock Wallpapers,PERSONALIZATION,4.5,16,3.7,1000,Free,0.0,Everyone,Personalization,"August 1, 2018",2.3.0,5.0 and up,3.7
4479,G-Pix [Android P] Dark EMUI 8/5 THEME,PERSONALIZATION,4.1,169,24.0,10000,Free,0.0,Everyone,Personalization,"March 25, 2018",7,4.4 and up,24
4480,G-Pix [Android P] EMUI 8/5 THEME,PERSONALIZATION,4.1,720,10.0,100000,Free,0.0,Everyone,Personalization,"March 13, 2018",12,4.4 and up,10
4481,Android-P Mono Grey EMUI 8/5 Theme,PERSONALIZATION,4.5,61,7.5,10000,Free,0.0,Everyone,Personalization,"April 4, 2018",4,4.4 and up,7.5
4483,Materialistic P Wallpapers,PERSONALIZATION,4.8,24,3.6,1000,Free,0.0,Everyone,Personalization,"August 3, 2018",2.244,5.0 and up,3.6
4484,Android P Rotation,TOOLS,4.5,502,2.0,10000,Free,0.0,Everyone,Tools,"July 15, 2018",1.5,5.0 and up,2.0
4486,Android P Launcher 9.0 launcher,TOOLS,4.0,164,2.3,10000,Free,0.0,Everyone,Tools,"April 23, 2018",1.0,5.0 and up,2.3
4487,Pixel Oreo/P Dark White AMOLED UI - Icon Pack,PERSONALIZATION,4.8,18,16.0,5000,Paid,1.49,Everyone,Personalization,"June 21, 2018",5.1,4.0.3 and up,16
4488,pretty Easy privacy p≡p,COMMUNICATION,3.7,21,20.0,500,Paid,0.99,Everyone,Communication,"July 30, 2018",1.0.100rc1.withoutKeysync,5.0 and up,20
4490,Pi Dark [substratum],PERSONALIZATION,4.5,189,2.1,10000,Free,0.0,Everyone,Personalization,"March 27, 2018",1.1,4.1 and up,2.1
4491,"Q Alerts: QAnon Drop Notifications, Research +++",NEWS_AND_MAGAZINES,4.7,143,26.0,5000,Paid,0.99,Mature 17+,News & Magazines,"July 26, 2018",4.1.10,4.1 and up,26
4492,The Q - Live Trivia Game Network,GAME,2.7,1486,14.0,100000,Free,0.0,Everyone,Trivia,"August 3, 2018",2.4.8,5.0 and up,14
4493,Fossil Q,LIFESTYLE,2.9,6627,18.0,500000,Free,0.0,Everyone,Lifestyle,"August 1, 2018",2.5.1,4.4 and up,18
4494,Q,FAMILY,4.2,69126,60.0,1000000,Free,0.0,Everyone,Puzzle,"April 19, 2018",2.9.4,4.0 and up,60
4496,Q Cat Live Wallpaper,PERSONALIZATION,4.2,4383,7.1,500000,Free,0.0,Teen,Personalization,"March 16, 2015",2.7,2.3.3 and up,7.1
4498,Fossil Q Legacy,LIFESTYLE,2.6,680,60.0,50000,Free,0.0,Everyone,Lifestyle,"September 19, 2017",1.0.1,4.4 and up,60
4499,Offroad Car Q,FAMILY,4.1,24668,40.0,1000000,Free,0.0,Everyone,Simulation,"August 4, 2016",1.0.2,2.3.3 and up,40
4500,Q*bert: Rebooted,GAME,4.3,13788,55.0,1000000,Free,0.0,Everyone,Arcade,"April 1, 2017",1.1,4.4 and up,55
4502,Gun Shoot War Q,GAME,4.2,26893,20.0,1000000,Free,0.0,Teen,Arcade,"March 1, 2017",1.0.5,2.3 and up,20
4503,FaceQ,FAMILY,4.4,591411,19.0,10000000,Free,0.0,Teen,Entertainment,"May 16, 2017",3.4.1,3.0 and up,19
4505,Q Link Wireless Zone,PRODUCTIVITY,4.0,2194,17.0,500000,Free,0.0,Everyone,Productivity,"March 8, 2018",2.0.4,4.4 and up,17
4506,Q Avatar (Avatar Maker),COMICS,4.4,2012,3.6,100000,Free,0.0,Everyone,Comics,"March 4, 2017",1.3.5,2.3 and up,3.6
4507,Q downloader : download your social media videos,FAMILY,4.1,41,4.5,1000,Free,0.0,Everyone,Entertainment,"June 21, 2018",1.1.2.1,4.0.3 and up,4.5
4508,Q Avatar Pro,FAMILY,4.8,4,3.6,100,Paid,1.49,Teen,Entertainment,"March 4, 2017",1.3.5,2.3 and up,3.6
4509,Q-See Plus,VIDEO_PLAYERS,2.2,32,33.0,5000,Free,0.0,Everyone,Video Players & Editors,"July 9, 2018",3.1.0,4.0.3 and up,33
4510,Q Wunder,FAMILY,3.8,156,43.0,10000,Free,0.0,Everyone,Education;Education,"June 30, 2018",2.0.13,4.1 and up,43
4511,Q-See QC View,TOOLS,3.1,657,21.0,100000,Free,0.0,Everyone,Tools,"January 19, 2018",3.49.0202,4.0.3 and up,21
4512,Leica Q,PHOTOGRAPHY,3.1,133,2.3,10000,Free,0.0,Everyone,Photography,"May 8, 2018",1.0.2.1,4.0 and up,2.3
4513,Q Remote Control,TOOLS,3.8,4264,14.0,500000,Free,0.0,Everyone,Tools,"July 12, 2014",2.6.1,2.3 and up,14
4514,Q-Ticketing,MAPS_AND_NAVIGATION,3.8,114,19.0,10000,Free,0.0,Everyone,Maps & Navigation,"December 18, 2017",1.8.3111,4.3 and up,19
4515,DJMAX TECHNIKA Q - Music Game,GAME,4.3,21107,83.35,100000,Free,0.0,Everyone,Music,"July 30, 2018",1.2.1,4.0.3 and up,95
4516,myQ,TOOLS,3.6,3642,29.0,100000,Free,0.0,Everyone,Tools,"July 23, 2018",3.2.0,4.0.3 and up,29
4517,QR Code Reader,TOOLS,4.0,495971,2.7,50000000,Free,0.0,Everyone,Tools,"March 16, 2016",2.3,2.3.3 and up,2.7
4521,Q-slope,TOOLS,4.5,2,3.9,50,Paid,1.76,Everyone,Tools,"December 3, 2017",5.0,4.3 and up,3.9
4522,Q-Tech Companion App,FOOD_AND_DRINK,1.8,17,3.1,10000,Free,0.0,Everyone,Food & Drink,"March 8, 2017",1.6.3,4.4 and up,3.1
4523,Q Mobile Banking,FINANCE,4.7,460,12.0,10000,Free,0.0,Everyone,Finance,"June 26, 2018",5.9.1.0,5.0 and up,12
4524,Q Quiz SK,FAMILY,3.9,159,39.0,5000,Free,0.0,Everyone,Education,"December 8, 2015",2.3,2.3 and up,39
4525,Big Q Car Service,MAPS_AND_NAVIGATION,4.4,75,26.0,5000,Free,0.0,Everyone,Maps & Navigation,"May 15, 2017",3.002,4.0.3 and up,26
4526,Q-See QT View,TOOLS,3.6,7357,19.0,100000,Free,0.0,Everyone,Tools,"July 12, 2018",4.4.1,5.0 and up,19
4527,ROBLOX,FAMILY,4.5,4443407,67.0,100000000,Free,0.0,Everyone 10+,Adventure;Action & Adventure,"July 31, 2018",2.347.225742,4.1 and up,67
4528,"DataCamp - Learn R, Python & SQL",FAMILY,4.4,944,12.0,100000,Free,0.0,Everyone,Education,"August 1, 2018",3.1.0,4.1 and up,12
4529,R Language Reference Guide,BOOKS_AND_REFERENCE,3.9,54,2.8,10000,Free,0.0,Everyone,Books & Reference,"December 24, 2017",1.11,4.0 and up,2.8
4530,Run R Script - Online Statistical Data Analysis,FAMILY,3.9,8,6.2,1000,Free,0.0,Everyone,Education,"April 4, 2018",1.1 Build 226,2.2 and up,6.2
4531,R Programming Language,FAMILY,3.8,39,2.9,1000,Free,0.0,Everyone,Education,"December 21, 2017",1.0,4.2 and up,2.9
4533,R. Physics Puzzle Game,FAMILY,4.2,5369,60.0,500000,Free,0.0,Everyone,Puzzle,"April 19, 2018",1.0.16,4.3 and up,60
4534,R Instructor,FAMILY,4.1,135,4.9,1000,Paid,4.84,Everyone,Education,"February 21, 2014",2.03,3.0 and up,4.9
4535,GT-R R35 Drift Simulator,FAMILY,4.4,1852,62.0,100000,Free,0.0,Everyone,Simulation,"October 31, 2017",1.0,2.3 and up,62
4536,Offroad Pickup Truck R,FAMILY,4.4,6367,83.35,1000000,Free,0.0,Everyone,Simulation,"July 14, 2017",1.4,2.3 and up,96
4539,R Programing Offline Tutorial,BOOKS_AND_REFERENCE,5.0,4,3.9,1000,Free,0.0,Everyone,Books & Reference,"March 15, 2018",1.0.0,4.1 and up,3.9
4540,Learn R Language Easy Way,FAMILY,4.1,17,2.2,10000,Free,0.0,Everyone,Education,"September 24, 2017",1.22,4.0.3 and up,2.2
4541,.R,TOOLS,4.5,259,83.35,10000,Free,0.0,Everyone,Tools,"September 16, 2014",1.1.06,1.5 and up,203
4542,R-TYPE II,GAME,4.3,5682,37.0,50000,Paid,1.99,Everyone,Arcade,"March 2, 2017",1.1.5,2.3.3 and up,37
4544,R Programming Solution,FAMILY,3.9,169,7.7,10000,Free,0.0,Everyone,Education,"June 20, 2016",1.0.3,4.0 and up,7.7
4545,Learn R - Programming Concepts,FAMILY,3.5,6,2.9,1000,Free,0.0,Everyone,Education,"April 25, 2017",1.0.1,4.0.3 and up,2.9
4547,Car Parking Nissan GT-R R35 Simulator,FAMILY,3.2,513,34.0,100000,Free,0.0,Everyone,Simulation,"December 5, 2017",1.0,4.0 and up,34
4552,R-net for Android,PRODUCTIVITY,3.3,48,58.0,5000,Free,0.0,Everyone,Productivity,"August 7, 2013",1.0,3.1 and up,58
4553,R File Manager,TOOLS,4.8,17,6.7,50,Free,0.0,Everyone,Tools,"May 5, 2018",v2,4.4 and up,6.7
4554,R-TYPE,GAME,4.5,7687,23.0,100000,Paid,1.99,Everyone,Arcade,"February 27, 2017",2.3.1,2.3.3 and up,23
4555,R Studio,SHOPPING,3.7,23,8.9,5000,Free,0.0,Everyone,Shopping,"July 8, 2016",2.1.1,4.0.3 and up,8.9
4556,Day R Premium,FAMILY,4.8,51068,57.0,100000,Paid,4.99,Teen,Role Playing,"June 21, 2018",1.574,4.0.3 and up,57
4557,"Join R, Community Engagement",SOCIAL,4.7,144,12.0,1000,Free,0.0,Teen,Social,"January 31, 2017",1.0.12,4.0.3 and up,12
4558,R Bank,FINANCE,4.3,90,13.0,5000,Free,0.0,Everyone,Finance,"May 30, 2018",5.9.1.0,5.0 and up,13
4559,Elemental Knights R Platinum,FAMILY,3.8,2925,83.35,50000,Paid,4.77,Teen,Role Playing,"August 1, 2018",6.2.1,4.1 and up,93
4560,Wonder5 Masters R,FAMILY,4.1,1655,83.0,100000,Free,0.0,Everyone,Role Playing,"August 2, 2018",1.1.52,4.3 and up,83
4561,Neon-R (Red),PERSONALIZATION,4.7,25,41.0,100,Paid,0.99,Everyone,Personalization,"March 12, 2015",1.0,4.0.3 and up,41
4563,R. Lee Ermey's Official Sound,FAMILY,4.2,1696,2.7,100000,Free,0.0,Mature 17+,Entertainment,"September 19, 2012",1.4,2.1 and up,2.7
4566,SHAREit - Transfer & Share,TOOLS,4.6,7775146,17.0,500000000,Free,0.0,Everyone,Tools,"July 30, 2018",4.5.28_ww,4.1 and up,17
4567,S Launcher for Galaxy TouchWiz,PERSONALIZATION,4.2,11244,2.2,1000000,Free,0.0,Everyone,Personalization,"June 12, 2018",1.1.1,4.1 and up,2.2
4569,S Player - Lightest and Most Powerful Video Player,TOOLS,4.6,14224,7.1,1000000,Free,0.0,Everyone,Tools,"October 12, 2017",1.0.98_ww,2.3 and up,7.1
4570,Offroad Pickup Truck S,FAMILY,4.2,5178,20.0,1000000,Free,0.0,Everyone,Simulation,"October 10, 2017",1.7,2.3 and up,20
4571,S Launcher Pro for Galaxy,PERSONALIZATION,4.1,47,26.0,1000,Paid,4.99,Everyone,Personalization,"February 12, 2016",1.0,4.1 and up,26
4573,S Note,PRODUCTIVITY,4.1,12435,31.0,10000000,Free,0.0,Everyone,Productivity,"September 26, 2017",Varies with device,6.0 and up,31
4574,"S Photo Editor - Collage Maker , Photo Collage",PHOTOGRAPHY,4.4,972574,45.0,100000000,Free,0.0,Everyone,Photography,"August 3, 2018",2.31,4.1 and up,45
4575,Stupid Zombies,GAME,4.5,464900,33.0,10000000,Free,0.0,Teen,Arcade,"June 27, 2018",2.0.5,4.2 and up,33
4576,S’more - Earn Cash Rewards,PRODUCTIVITY,4.1,15097,14.0,1000000,Free,0.0,Everyone,Productivity,"July 23, 2018",1.6.0,4.2 and up,14
4577,PitchBlack S - Samsung Substratum Theme “For Oreo”,PERSONALIZATION,4.5,90,37.0,1000,Paid,1.99,Everyone,Personalization,"August 4, 2018",12.6,7.0 and up,37
4578,Samsung Smart Switch Mobile,TOOLS,4.3,146913,24.0,100000000,Free,0.0,Everyone,Tools,"July 18, 2018",3.5.02.15,4.0 and up,24
4579,"S S9 Launcher - Galaxy S8/S9 Launcher, theme, cool",TOOLS,4.4,22503,6.5,1000000,Free,0.0,Everyone,Tools,"July 6, 2018",4.1,4.1 and up,6.5
4580,Five Nights at Freddy's 2 Demo,FAMILY,4.3,1503544,40.0,50000000,Free,0.0,Teen,Strategy,"November 15, 2014",1.07,2.3 and up,40
4581,Crime Wars S. Andreas,GAME,4.3,5785,83.35,500000,Free,0.0,Teen,Racing,"April 12, 2017",1.2,2.3 and up,93
4582,S Pen Keeper,TOOLS,3.8,560,83.35,50000,Free,0.0,Everyone,Tools,"June 8, 2018",2.1.0.032,4.0.3 and up,314
4583,SH Script Runner,PRODUCTIVITY,3.9,334,3.7,50000,Free,0.0,Everyone,Productivity,"January 2, 2018",1.07,4.1 and up,3.7
4584,City Taxi Driver sim 2016: Cab simulator Game-s,FAMILY,4.1,16111,57.0,1000000,Free,0.0,Everyone,Simulation,"June 12, 2018",1.11,4.1 and up,57
4585,Shopping List S PRO,SHOPPING,4.8,14,2.7,100,Paid,2.49,Everyone,Shopping,"May 16, 2018",2.10,4.1 and up,2.7
4587,Tinder,LIFESTYLE,4.0,2789775,68.0,100000000,Free,0.0,Mature 17+,Lifestyle,"August 2, 2018",9.5.0,4.4 and up,68
4588,"Topbuzz: Breaking News, Videos & Funny GIFs",NEWS_AND_MAGAZINES,4.7,174827,25.0,10000000,Free,0.0,Mature 17+,News & Magazines,"August 4, 2018",6.7.3,4.0 and up,25
4591,Dino T-Rex,GAME,4.0,69115,2.4,10000000,Free,0.0,Everyone,Arcade,"June 13, 2018",1.36,4.1 and up,2.4
4594,AT&T U-verse,FAMILY,3.7,38606,83.35,1000000,Free,0.0,Everyone,Entertainment,"June 13, 2018",5.9.0.0031,4.1 and up,96
4596,T Uploader,FAMILY,4.1,75,2.2,10000,Free,0.0,Everyone,Education,"November 24, 2017",0.1.5,4.0 and up,2.2
4597,T-Mobile DIGITS,COMMUNICATION,3.0,1820,33.0,100000,Free,0.0,Everyone,Communication,"February 15, 2018",1.1.50,4.4 and up,33
4599,DIRECTV Remote App,FAMILY,3.0,480,19.0,1000000,Free,0.0,Everyone,Entertainment,"August 31, 2017",2.40,6.0 and up,19
4601,T-Mobile Tuesdays,LIFESTYLE,4.0,53144,21.0,5000000,Free,0.0,Everyone,Lifestyle,"July 13, 2018",4.8.0,5.0 and up,21
4603,AT&T Mobile Transfer,PRODUCTIVITY,4.6,22775,26.0,10000000,Free,0.0,Everyone,Productivity,"July 31, 2018",3.8.2,4.4 and up,26
4604,T-Mobile Content Transfer,PRODUCTIVITY,4.1,370,29.0,500000,Free,0.0,Everyone,Productivity,"January 25, 2018",2.1.5,4.0 and up,29
4606,I Can't Wake Up!,TOOLS,4.7,963,3.7,10000,Paid,2.99,Everyone,Tools,"May 25, 2018",3.4.0,4.0 and up,3.7
4607,AT&T FamilyMap®,TOOLS,3.5,21592,25.0,10000000,Free,0.0,Everyone,Tools,"October 24, 2017",10.1.1,4.0.3 and up,25
4608,T-Mobile® FamilyMode™,PARENTING,3.1,103,28.0,10000,Free,0.0,Everyone,Parenting,"June 29, 2018",1.0.2-alpha4,4.4 and up,28
4609,Portable Wi-Fi hotspot,COMMUNICATION,3.9,138129,2.1,10000000,Free,0.0,Everyone,Communication,"May 6, 2018",1.5.2.4-23,2.3 and up,2.1
4611,AT&T Call Protect,COMMUNICATION,4.2,6454,15.0,5000000,Free,0.0,Everyone,Communication,"May 3, 2018",1.5.13-3598,5.0 and up,15
4612,Don't Starve: Pocket Edition,GAME,4.4,17988,7.9,100000,Paid,4.99,Teen,Adventure,"July 25, 2018",1.06,5.0 and up,7.9
4613,"Please, Don't Touch Anything",FAMILY,4.4,1771,46.0,10000,Paid,4.99,Teen,Puzzle,"April 20, 2016",1.1.0,2.3 and up,46
4614,AT&T DriveMode,MAPS_AND_NAVIGATION,3.3,8465,8.9,10000000,Free,0.0,Everyone,Maps & Navigation,"May 3, 2018",1.0.4.3,4.1 and up,8.9
4615,The T Factor,EVENTS,4.8,48,13.0,1000,Free,0.0,Everyone,Events,"September 26, 2017",8.8,4.2 and up,13
4616,Please Don't Touch Anything 3D,FAMILY,4.2,146,20.0,5000,Paid,5.99,Teen,Puzzle,"December 7, 2016",1.1,4.4 and up,20
4618,Don't touch my phone,TOOLS,3.8,21943,2.3,5000000,Free,0.0,Everyone,Tools,"October 19, 2016",30,2.3 and up,2.3
4619,Don't Starve: Shipwrecked,GAME,4.1,1468,4.9,10000,Paid,4.99,Teen,Adventure,"July 10, 2018",0.16,5.0 and up,4.9
4620,Ludo - Don't get angry,GAME,4.2,131,23.0,1000,Paid,1.61,Everyone,Board,"February 24, 2016",1.6.3,2.3.3 and up,23
4621,Jurassic Life: T Rex Simulator,FAMILY,4.2,1088,35.0,10000,Paid,0.99,Everyone 10+,Simulation,"August 19, 2014",1.2,2.0.1 and up,35
4622,T-Mobile SyncUP DRIVE,AUTO_AND_VEHICLES,4.0,1981,18.0,100000,Free,0.0,Everyone,Auto & Vehicles,"August 1, 2018",2.15.1.4,5.0 and up,18
4623,T-shirt design - Snaptee,LIFESTYLE,4.2,29756,45.0,1000000,Free,0.0,Everyone,Lifestyle,"July 19, 2018",1.1.6.1,4.1 and up,45
4624,MBTA GPS - Track the T,MAPS_AND_NAVIGATION,3.8,82,5.6,5000,Free,0.0,Everyone,Maps & Navigation,"February 23, 2018",5.1.0,4.1 and up,5.6
4625,T. Rowe Price Personal® App,FINANCE,4.5,1057,4.5,50000,Free,0.0,Everyone,Finance,"July 6, 2018",1.7,6.0 and up,4.5
4626,Můj T-Mobile Business,PRODUCTIVITY,3.7,10490,5.8,1000000,Free,0.0,Everyone,Productivity,"July 24, 2018",3.1.7,4.1 and up,5.8
4627,U by BB&T,FINANCE,4.3,16600,24.0,1000000,Free,0.0,Everyone,Finance,"June 19, 2018",1.7.7,4.4 and up,24
4628,U LIVE – Video Chat & Stream,SOCIAL,4.5,67611,21.0,1000000,Free,0.0,Mature 17+,Social,"April 23, 2018",263.16.29,4.0.3 and up,21
4629,"U - Webinars, Meetings & Messenger",COMMUNICATION,4.1,6601,31.0,500000,Free,0.0,Everyone,Communication,"July 2, 2018",4.7.0,4.1 and up,31
4630,Hollywood U: Rising Stars,FAMILY,4.2,233588,74.0,5000000,Free,0.0,Teen,Simulation,"April 21, 2017",3.8.0,4.0.3 and up,74
4631,U-Dictionary: Best English Learning Dictionary,FAMILY,4.5,166886,21.0,10000000,Free,0.0,Everyone 10+,Education,"July 29, 2018",3.6.2,4.0.3 and up,21
4632,Ustream,VIDEO_PLAYERS,4.0,93638,7.3,10000000,Free,0.0,Mature 17+,Video Players & Editors,"July 11, 2018",3.2.2,4.1 and up,7.3
4633,UC Browser Mini -Tiny Fast Private & Secure,COMMUNICATION,4.4,3648765,3.3,100000000,Free,0.0,Teen,Communication,"July 18, 2018",11.4.0,4.0 and up,3.3
4635,ENCHANT U,FAMILY,4.3,83977,11.0,500000,Free,0.0,Everyone,Casual,"November 8, 2012",1.2.2,2.1 and up,11
4636,/u/app,COMMUNICATION,4.7,573,53.0,10000,Free,0.0,Mature 17+,Communication,"July 3, 2018",4.2.4,4.1 and up,53
4637,Kicker U,LIFESTYLE,4.1,124,37.0,5000,Paid,3.99,Everyone,Lifestyle,"June 13, 2018",3.04,4.0.3 and up,37
4638,U-Haul,TRAVEL_AND_LOCAL,3.2,852,37.0,100000,Free,0.0,Everyone,Travel & Local,"July 31, 2018",2.2.1,4.4 and up,37
4639,Vienna U-Bahn,MAPS_AND_NAVIGATION,3.9,139,2.0,10000,Free,0.0,Everyone,Maps & Navigation,"July 25, 2018",1.21.0,4.0 and up,2.0
4640,Kicker U Lite,LIFESTYLE,4.1,438,26.0,50000,Free,0.0,Everyone,Lifestyle,"September 27, 2013",2.0.0,2.1 and up,26
4641,U-Scan,TOOLS,3.4,784,42.0,50000,Free,0.0,Everyone,Tools,"September 29, 2016",1.2.6 (94),2.2 and up,42
4642,Octo U: Your driving companion,TRAVEL_AND_LOCAL,3.0,331,7.8,50000,Free,0.0,Everyone,Travel & Local,"March 13, 2018",1.1.47,4.3 and up,7.8
4643,I Love U Theme&Emoji Keyboard,PERSONALIZATION,4.6,655,3.5,100000,Free,0.0,Everyone,Personalization,"May 8, 2018",4.3,4.1 and up,3.5
4644,Channel U,FAMILY,4.6,34,14.0,1000,Free,0.0,Everyone,Entertainment,"May 21, 2018",1.3,4.1 and up,14
4645,"Parallel U - App Cloner, Duals APP, tarallel",TOOLS,4.1,3315,5.1,500000,Free,0.0,Everyone,Tools,"May 15, 2018",1.0.24,4.1 and up,5.1
4646,U Pull It Auto Dismantler,BUSINESS,3.1,71,1.9,10000,Free,0.0,Everyone,Business,"May 14, 2013",1.0,1.6 and up,1.9
4647,Wii U Simulator,FAMILY,3.4,1178,38.0,100000,Free,0.0,Everyone 10+,Simulation,"April 8, 2018",1.0.1,5.0 and up,38
4648,U Camera : Phone 6s OS 9 style,PHOTOGRAPHY,4.2,2158,3.0,500000,Free,0.0,Everyone,Photography,"August 28, 2017",1.0.3,4.0 and up,3.0
4649,U get - Wireless Speed Test,TOOLS,4.2,26,2.2,5000,Free,0.0,Everyone,Tools,"June 4, 2018",1.3.5,4.0 and up,2.2
4650,U Guard,TOOLS,3.0,245,3.5,10000,Free,0.0,Everyone,Tools,"August 31, 2016",1.1.6.6,2.3 and up,3.5
4651,DRC Sim - Wii U Gamepad,FAMILY,2.4,210,4.0,10000,Free,0.0,Everyone,Casual,"June 25, 2017",2.0,2.3 and up,4.0
4652,"See U - Random video chat, video chat",SOCIAL,4.1,568,27.0,100000,Free,0.0,Mature 17+,Social,"April 13, 2018",1.4.1,4.1 and up,27
